Timestamp,DeviceID,SiteID,Status,PayloadJSON
2026-01-01 01:00:00,DEV001,S01,OK,"{""temperature"":64.2,""humidity"":36.3,""energyKWh"":3.66,""battery"":48,""alert"":null,""location"":{""zone"":""Z1"",""floor"":1}}"
2026-01-01 02:00:00,DEV002,S02,OK,"{""temperature"":31.2,""humidity"":40.1,""energyKWh"":9.02,""battery"":89,""alert"":null,""location"":{""zone"":""Z2"",""floor"":2}}"
2026-01-01 03:00:00,DEV003,S03,OK,"{""temperature"":27.7,""humidity"":56.1,""energyKWh"":0.84,""battery"":47,""alert"":null,""location"":{""zone"":""Z3"",""floor"":3}}"
2026-01-01 04:00:00,DEV004,S04,OK,"{""temperature"":37.4,""humidity"":65.1,""energyKWh"":6.95,""battery"":89,""alert"":null,""location"":{""zone"":""Z4"",""floor"":1}}"
2026-01-01 05:00:00,DEV005,S05,OK,"{""temperature"":49.7,""humidity"":57.5,""energyKWh"":3.7,""battery"":20,""alert"":null,""location"":{""zone"":""Z1"",""floor"":2}}"
2026-01-01 06:00:00,DEV006,S06,OK,"{""temperature"":72.1,""humidity"":43.0,""energyKWh"":5.36,""battery"":55,""alert"":null,""location"":{""zone"":""Z2"",""floor"":3}}"
2026-01-01 07:00:00,DEV007,S01,OK,"{""temperature"":32.3,""humidity"":82.9,""energyKWh"":4.37,""battery"":31,""alert"":null,""location"":{""zone"":""Z3"",""floor"":1}}"
2026-01-01 08:00:00,DEV008,S02,OK,"{""temperature"":47.1,""humidity"":52.9,""energyKWh"":4.46,""battery"":53,""alert"":null,""location"":{""zone"":""Z4"",""floor"":2}}"
2026-01-01 09:00:00,DEV001,S03,OK,"{""temperature"":75.3,""humidity"":71.5,""energyKWh"":6.67,""battery"":68,""alert"":null,""location"":{""zone"":""Z1"",""floor"":3}}"
2026-01-01 10:00:00,DEV002,S04,OK,"{""temperature"":27.2,""humidity"":49.7,""energyKWh"":7.73,""battery"":66,""alert"":null,""location"":{""zone"":""Z2"",""floor"":1}}"
2026-01-01 11:00:00,DEV003,S05,OK,"{""temperature"":60.1,""humidity"":70.2,""energyKWh"":1.03,""battery"":49,""alert"":null,""location"":{""zone"":""Z3"",""floor"":2}}"
2026-01-01 12:00:00,DEV004,S06,OK,"{""temperature"":73.0,""humidity"":84.3,""energyKWh"":10.34,""battery"":32,""alert"":null,""location"":{""zone"":""Z4"",""floor"":3}}"
2026-01-01 13:00:00,DEV005,S01,WARN,"{""temperature"":47.1,""humidity"":57.7,""energyKWh"":10.09,""battery"":40,""alert"":null,""location"":{""zone"":""Z1"",""floor"":1}}"
2026-01-01 14:00:00,DEV006,S02,OK,"{""temperature"":46.4,""humidity"":45.5,""energyKWh"":3.57,""battery"":29,""alert"":null,""location"":{""zone"":""Z2"",""floor"":2}}"
2026-01-01 15:00:00,DEV007,S03,OK,"{""temperature"":62.2,""humidity"":43.6,""energyKWh"":8.88,""battery"":40,""alert"":null,""location"":{""zone"":""Z3"",""floor"":3}}"
2026-01-01 16:00:00,DEV008,S04,OK,"{""temperature"":52.5,""humidity"":48.5,""energyKWh"":11.14,""battery"":91,""alert"":null,""location"":{""zone"":""Z4"",""floor"":1}}"
2026-01-01 17:00:00,DEV001,S05,OK,"{""temperature"":36.5,""humidity"":51.2,""energyKWh"":9.34,""battery"":27,""alert"":""HighTemp"",""location"":{""zone"":""Z1"",""floor"":2}}"
2026-01-01 18:00:00,DEV002,S06,OK,"{""temperature"":37.1,""humidity"":36.6,""energyKWh"":4.13,""battery"":54,""alert"":null,""location"":{""zone"":""Z2"",""floor"":3}}"
2026-01-01 19:00:00,DEV003,S01,OK,"{""temperature"":26.4,""humidity"":80.7,""energyKWh"":7.02,""battery"":60,""alert"":null,""location"":{""zone"":""Z3"",""floor"":1}}"
2026-01-01 20:00:00,DEV004,S02,OK,"{""temperature"":36.0,""humidity"":60.0,""energyKWh"":10.67,""battery"":78,""alert"":null,""location"":{""zone"":""Z4"",""floor"":2}}"
